cluster,region
111,US WEST
112,US WEST
113,US WEST
121,US EAST
122,US EAST
123,US EAST
124,US EAST
131,EUROPE
132,EUROPE
133,EUROPE
134,EUROPE
135,EUROPE
136,EUROPE
137,EUROPE
138,EUROPE
144,JAPAN
145,JAPAN
151,SINGAPORE
152,SINGAPORE
153,SINGAPORE
154,SINGAPORE
155,SINGAPORE
156,SINGAPORE
161,DUBAI
171,AUSTRALIA
172,AUSTRALIA
181,STOCKHOLM
182,STOCKHOLM
183,STOCKHOLM
184,STOCKHOLM
185,STOCKHOLM
186,STOCKHOLM
187,STOCKHOLM
188,STOCKHOLM
191,AUSTRIA
192,AUSTRIA
193,AUSTRIA
201,BRAZIL
202,BRAZIL
204,BRAZIL
211,SOUTHAFRICA
212,SOUTHAFRICA
213,SOUTHAFRICA
223,PW TELECOM ZHEJIANG
224,PW TELECOM SHANGHAI
225,PW TELECOM GUANGDONG
227,PW TELECOM WUHAN
231,PW UNICOM
232,PW UNICOM TIANJIN
241,CHILE
242,CHILE
251,PERU
261,INDIA
